ship	leg	departure	arrival	startx	starty	destinationx	destinationy
2	1	1794	1794	800	-100	774	416
3	1	1794	1794	800	-150	774	416
4	1	1794	1794	800	-200	774	416
5	1	1794	1794	800	-250	774	416
6	1	1794	1794	800	-300	774	416
7	1	1794	1794	800	-350	774	416
8	1	1795	1795	800	-100	774	416
9	1	1795	1795	800	-150	774	416
10	1	1795	1795	800	-200	774	416
11	1	1795	1795	800	-250	774	416
12	1	1796	1796	800	-100	774	416
13	1	1798	1798	800	-100	774	416
14	1	1799	1799	800	-100	774	416
15	1	1799	1799	800	-150	774	416
16	1	1799	1799	800	-200	774	416
17	1	1799	1799	800	-250	774	416
18	1	1800	1800	800	-100	774	416
19	1	1800	1800	800	-150	774	416
20	1	1800	1800	800	-200	774	416
21	1	1800	1800	800	-250	774	416
22	1	1800	1800	800	-300	774	416
23	1	1800	1800	800	-350	774	416
24	1	1800	1800	800	-400	774	416
25	1	1800	1800	800	-450	774	416
26	1	1800	1800	800	-500	774	416
27	1	1800	1800	800	-550	774	416
28	1	1800	1800	800	-600	774	416
29	1	1800	1800	800	-650	774	416
30	1	1800	1800	800	-700	774	416
31	1	1801	1801	800	-100	774	416
32	1	1801	1801	800	-150	774	416
33	1	1801	1801	800	-200	774	416
34	1	1801	1801	800	-250	774	416
35	1	1801	1801	800	-300	774	416
36	1	1801	1801	800	-350	774	416
37	1	1801	1801	800	-400	774	416
38	1	1801	1801	800	-450	774	416
39	1	1801	1801	800	-500	774	416
40	1	1801	1801	800	-550	774	416
41	1	1801	1801	800	-600	774	416
42	1	1801	1801	800	-650	774	416
43	1	1801	1801	800	-700	774	416
44	1	1801	1801	800	-750	774	416
45	1	1801	1801	800	-800	774	416
46	1	1802	1802	800	-100	774	416
47	1	1802	1802	800	-150	774	416
48	1	1802	1802	800	-200	774	416
49	1	1802	1802	800	-250	774	416
50	1	1802	1802	800	-300	774	416
51	1	1802	1802	800	-350	774	416
52	1	1802	1802	800	-400	774	416
53	1	1802	1802	800	-450	774	416
54	1	1802	1802	800	-500	774	416
55	1	1803	1803	800	-100	774	416
56	1	1803	1803	800	-150	774	416
57	1	1803	1803	800	-200	774	416
58	1	1803	1803	800	-250	774	416
59	1	1803	1803	800	-300	774	416
60	1	1803	1803	800	-350	774	416
61	1	1803	1803	800	-400	774	416
62	1	1803	1803	800	-450	774	416
63	1	1803	1803	800	-500	774	416
64	1	1803	1803	800	-550	774	416
65	1	1803	1803	800	-600	774	416
66	1	1803	1803	800	-650	774	416
67	1	1804	1804	800	-100	774	416
68	1	1804	1804	800	-150	774	416
69	1	1804	1804	800	-200	774	416
70	1	1804	1804	800	-250	774	416
71	1	1804	1804	800	-300	774	416
72	1	1804	1804	800	-400	774	416
73	1	1804	1804	800	-450	774	416
74	1	1804	1804	800	-500	774	416
75	1	1804	1804	800	-550	774	416
76	1	1804	1804	800	-600	774	416
77	1	1804	1804	800	-650	774	416
78	1	1804	1804	800	-700	774	416
79	1	1804	1804	800	-750	774	416
80	1	1804	1804	800	-800	774	416
81	1	1805	1805	800	-100	774	416
82	1	1805	1805	800	-150	774	416
83	1	1805	1805	800	-200	774	416
84	1	1805	1805	800	-250	774	416
85	1	1805	1805	800	-300	774	416
86	1	1805	1805	800	-350	774	416
87	1	1805	1805	800	-400	774	416
88	1	1805	1805	800	-450	774	416
89	1	1805	1805	800	-500	774	416
90	1	1805	1805	800	-550	774	416
91	1	1805	1805	800	-600	774	416
92	1	1805	1805	800	-650	774	416
93	1	1805	1805	800	-700	774	416
94	1	1805	1805	800	-750	774	416
95	1	1805	1805	800	-800	774	416
96	1	1805	1805	800	-850	774	416
97	1	1805	1805	800	-900	774	416
98	1	1805	1805	800	-950	774	416
99	1	1805	1805	800	-1000	774	416
100	1	1805	1805	800	-1050	774	416
101	1	1805	1805	800	-1100	774	416
102	1	1805	1805	800	-1150	774	416
103	1	1806	1806	800	-100	774	416
104	1	1806	1806	800	-150	774	416
105	1	1806	1806	800	-200	774	416
106	1	1806	1806	800	-250	774	416
107	1	1806	1806	800	-300	774	416
108	1	1807	1807	800	-100	774	416
109	1	1807	1807	800	-150	774	416
110	1	1808	1808	800	-100	774	416
111	1	1808	1808	800	-150	774	416
112	1	1820	1820	800	-100	774	416
113	1	1820	1820	800	-150	774	416
114	1	1822	1822	800	-100	774	416
115	1	1824	1824	800	-100	774	416
116	1	1824	1824	800	-150	774	416
117	1	1825	1825	800	-100	774	416
